time_of_day,avg_condition_8,avg_condition_6,avg_condition_10,avg_condition_1,avg_condition_7,avg_condition_12,avg_condition_4,avg_condition_21,avg_condition_20,avg_condition_19,avg_condition_18,avg_condition_17,avg_condition_5,avg_condition_15,avg_condition_9,avg_condition_3,avg_condition_13,avg_condition_22,avg_condition_11,avg_condition_14,avg_condition_16,avg_condition_23,avg_condition_2,avg_control_1,avg_control_21,avg_control_10,avg_control_17,avg_control_30,avg_control_15,avg_control_3,avg_control_27,avg_control_26,avg_control_25,avg_control_24,avg_control_18,avg_control_22,avg_control_20,avg_control_19,avg_control_29,avg_control_23,avg_control_16,avg_control_14,avg_control_13,avg_control_11,avg_control_9,avg_control_8,avg_control_7,avg_control_6,avg_control_5,avg_control_4,avg_control_31,avg_control_12,avg_control_32,avg_control_28,avg_control_2
00:10,81.46,90.80,10.93,161.06,125.93,68.13,108.80,0.86,9.72,51.27,92.20,121.27,63.80,49.80,179.00,168.27,142.00,16.00,64.25,25.73,112.28,132.77,10.07,120.97,219.45,34.80,29.85,83.13,114.47,21.35,50.86,69.22,69.00,484.73,222.35,49.60,3.05,115.84,116.82,144.33,127.35,241.53,17.87,30.12,51.45,228.50,129.61,86.44,28.12,108.23,83.69,39.42,110.97,295.59,271.36
00:11,148.31,23.20,10.20,82.06,137.13,121.53,199.73,8.14,11.56,31.27,56.07,157.20,56.73,82.73,147.86,175.73,233.17,24.60,112.50,29.27,118.17,140.64,22.78,69.47,190.64,6.53,25.20,51.60,77.87,22.39,53.50,78.61,3.67,241.47,383.35,74.13,2.77,130.21,93.47,101.40,57.71,340.07,8.67,19.35,42.45,197.40,148.39,110.81,45.52,79.82,67.72,67.33,78.89,326.35,312.27
00:12,156.77,7.53,35.73,192.19,259.67,137.87,157.20,26.00,6.22,69.00,42.13,164.40,89.40,133.60,124.64,163.93,146.89,22.00,129.25,39.13,104.28,139.36,10.00,49.97,136.45,37.00,60.00,4.80,90.87,33.11,9.93,65.43,4.47,258.33,283.76,49.27,7.05,111.11,220.18,46.93,69.71,416.13,28.80,34.82,32.30,234.70,134.00,92.17,18.21,69.00,78.53,85.25,83.00,237.24,265.32
00:13,105.23,26.67,23.87,134.75,243.73,92.00,172.53,24.57,6.72,69.20,72.47,105.40,103.93,147.60,114.00,177.53,194.39,69.13,160.75,34.80,72.10,240.45,14.15,79.58,172.27,3.27,80.05,37.60,134.07,32.74,43.21,143.61,26.93,709.07,337.59,98.00,33.77,101.68,205.18,77.27,40.82,370.20,35.27,75.88,69.10,293.85,186.39,77.44,38.70,129.45,105.86,68.29,75.58,183.88,196.73
00:14,98.23,26.00,30.47,88.06,157.80,104.67,199.80,5.43,3.67,105.40,69.20,66.33,51.33,184.13,155.93,159.00,227.56,37.53,178.12,34.47,108.38,207.82,5.89,97.86,194.95,5.87,46.25,24.00,139.87,46.43,30.50,111.61,0.20,432.13,193.82,241.80,2.50,104.84,320.82,107.67,28.00,301.20,12.93,88.65,77.65,360.25,126.00,115.03,45.33,129.18,101.08,21.38,67.83,239.24,301.00
00:15,96.46,23.07,24.07,39.31,142.67,120.87,220.13,7.00,4.33,99.20,52.00,121.73,128.00,118.33,137.71,220.67,308.00,77.27,69.44,39.27,78.03,160.09,35.04,77.28,182.91,4.47,78.35,58.07,148.47,50.96,35.93,129.35,0.00,403.27,233.88,93.27,45.82,114.58,208.65,119.20,53.53,196.33,9.40,118.41,79.10,438.45,125.33,83.78,24.30,72.14,100.28,16.50,95.47,458.76,242.95
00:16,164.23,72.40,34.60,40.56,94.33,73.80,223.07,0.00,0.00,104.20,81.13,119.40,86.87,154.73,112.57,266.13,435.72,165.40,100.75,36.87,50.55,203.95,34.11,63.14,110.36,5.60,42.10,37.87,236.80,29.87,56.57,96.17,0.00,304.60,224.53,42.80,3.45,56.68,197.00,121.13,36.12,193.53,36.40,159.06,50.85,464.05,145.44,82.83,58.45,94.59,150.94,23.71,106.03,352.00,245.18
00:17,115.85,149.13,72.20,53.69,148.60,119.13,175.60,0.00,0.17,44.00,55.67,125.67,48.20,127.00,168.21,244.93,323.72,113.60,72.44,24.93,54.14,168.41,27.22,66.64,137.45,28.13,57.75,53.20,146.87,52.48,7.43,141.65,0.00,259.27,171.06,90.53,11.32,74.05,193.65,86.27,19.00,108.93,19.27,54.88,78.55,396.55,135.50,122.44,66.45,55.59,123.06,14.25,76.72,303.24,214.23
00:18,91.08,98.87,61.20,4.88,272.53,93.27,121.07,7.14,10.50,88.67,80.60,95.73,106.00,80.80,109.64,247.47,261.44,45.60,121.31,30.27,96.76,153.68,25.48,30.47,130.05,14.40,26.35,24.47,221.20,52.02,28.43,54.04,4.67,156.13,263.71,62.00,95.14,44.32,267.00,71.33,24.59,130.13,8.73,14.76,66.45,240.10,128.03,88.97,66.55,40.64,76.06,25.17,68.00,278.71,205.86
00:19,96.08,103.07,71.00,1.06,150.53,107.60,236.20,31.36,18.67,141.60,56.13,222.47,123.53,33.60,168.86,262.60,261.56,6.20,188.12,15.13,85.86,98.86,23.15,51.72,198.95,26.53,40.00,11.80,216.00,53.65,0.00,77.39,0.00,256.00,271.94,122.13,24.82,47.11,231.88,87.47,28.00,166.67,8.07,10.47,43.45,227.55,134.56,92.47,36.79,49.86,59.22,22.46,82.25,370.59,299.68
00:20,64.77,71.93,39.13,21.38,76.87,95.93,250.67,7.14,15.67,106.07,45.60,205.20,143.67,17.13,128.36,158.40,309.33,7.80,103.62,4.47,98.41,143.36,13.74,68.89,187.59,60.87,17.95,27.47,185.47,44.52,26.50,45.43,0.00,438.20,360.88,158.20,3.59,50.32,191.24,50.80,30.71,131.00,23.53,25.06,37.65,286.85,145.75,92.53,21.58,40.09,81.14,10.58,78.92,282.29,288.68
00:21,98.08,35.33,35.53,1.69,103.33,99.47,267.07,4.00,43.44,36.53,54.80,106.60,120.80,66.60,106.71,242.27,233.11,12.80,128.50,9.33,106.10,189.18,27.67,51.22,168.64,24.67,24.05,30.93,128.00,36.02,11.00,33.78,0.93,270.00,316.35,56.60,0.82,51.84,97.71,85.27,6.35,72.40,5.87,69.12,52.75,346.70,145.28,64.19,33.67,56.41,112.86,30.79,84.56,234.82,271.77
00:22,157.31,13.80,16.73,16.00,72.33,79.00,227.47,7.07,22.11,39.73,66.07,174.33,78.20,108.07,149.14,307.07,210.22,12.47,100.38,0.20,109.66,169.91,20.56,76.58,189.82,12.00,11.95,17.93,135.33,27.57,46.14,23.78,11.40,330.13,356.71,80.27,13.09,30.21,74.06,51.20,21.00,58.47,19.73,68.29,75.10,158.75,139.44,96.69,24.00,45.73,102.75,41.04,51.83,172.41,218.59
00:23,29.00,23.07,18.27,11.94,94.40,59.60,264.07,5.14,107.56,54.20,60.33,201.00,72.33,32.40,181.07,266.07,240.44,8.00,109.62,6.80,75.86,188.00,15.93,21.11,241.23,6.20,14.05,59.20,136.00,25.20,30.36,16.35,34.47,208.20,342.53,61.00,6.36,60.53,127.24,39.60,34.35,120.47,16.53,27.18,86.85,247.75,119.28,126.36,21.91,53.09,129.75,22.71,65.50,261.29,213.45
00:24,54.38,16.33,9.67,26.50,120.73,71.13,238.33,87.07,56.28,84.80,41.33,184.40,60.60,62.07,209.71,236.73,280.83,6.47,105.50,0.20,63.00,185.77,18.04,34.47,246.59,17.20,14.60,40.93,59.47,40.39,81.86,54.83,0.00,233.80,261.18,81.93,6.27,38.95,185.47,15.07,12.35,139.27,16.20,33.88,93.70,196.90,185.47,160.97,35.42,121.14,95.31,48.25,58.58,212.29,191.86
00:25,106.38,14.20,11.00,58.69,172.13,41.80,119.47,45.93,61.17,136.53,74.40,156.67,84.27,18.07,272.50,216.67,251.83,32.27,130.00,0.60,79.55,143.91,16.04,38.31,206.82,18.40,16.75,23.87,56.47,32.52,25.79,98.26,4.47,223.60,214.76,103.27,2.36,86.32,114.53,32.73,13.71,140.93,16.53,113.88,44.85,209.95,120.78,182.03,1.76,83.91,114.78,30.83,27.97,358.88,295.64
00:26,123.38,30.00,11.27,24.88,163.67,70.13,140.13,0.21,66.33,141.07,73.47,119.80,48.80,15.20,171.79,191.67,217.22,15.53,138.62,15.87,60.72,176.77,19.48,29.50,219.32,43.67,44.80,29.80,108.67,53.63,32.00,58.09,0.00,259.93,187.76,95.53,7.68,128.05,121.18,23.87,8.94,121.00,8.13,161.94,131.65,266.40,106.36,134.00,14.61,112.73,91.94,32.83,33.31,207.18,266.45
00:27,87.46,10.80,78.73,65.19,163.60,66.47,105.20,0.00,27.78,118.60,62.67,164.60,97.07,33.53,96.00,234.93,189.44,27.00,206.88,19.67,69.59,149.27,33.04,27.25,226.05,63.87,32.30,24.00,55.00,76.74,21.86,65.91,6.80,263.00,227.71,204.33,1.45,141.53,149.88,22.07,32.88,217.73,9.87,183.47,51.80,146.60,121.31,92.11,28.18,131.45,65.64,35.88,13.81,301.53,226.50
00:28,97.08,25.00,43.07,70.69,183.80,49.47,68.40,14.21,37.50,131.80,38.27,148.33,82.20,19.00,95.21,133.07,331.83,24.00,118.81,26.40,57.76,95.32,16.96,64.53,209.55,95.40,29.35,9.67,13.07,80.72,21.86,33.78,28.33,171.53,235.82,212.33,1.09,164.53,187.12,41.33,30.12,244.33,33.60,93.94,17.85,163.90,215.17,116.56,3.42,76.18,73.97,43.17,64.42,268.18,227.05
00:29,248.92,38.07,2.07,63.38,71.20,36.33,110.60,0.86,51.00,199.60,83.53,176.80,87.20,25.73,73.57,151.73,385.39,11.53,119.75,1.93,82.34,77.32,17.26,28.92,225.77,72.73,21.60,14.40,17.93,53.54,56.36,28.52,41.13,121.20,173.41,132.53,0.82,179.11,183.88,52.07,30.71,180.13,22.13,119.53,18.85,190.35,166.31,105.11,2.36,72.05,77.17,32.75,81.42,211.59,278.27
00:30,212.38,15.00,16.00,48.31,106.00,52.20,75.60,0.00,27.67,45.33,55.93,181.27,91.13,17.47,104.14,112.40,285.06,27.40,86.00,4.27,30.93,155.55,12.48,58.58,217.82,60.07,13.15,32.53,14.80,61.57,93.57,39.87,75.13,182.07,129.35,191.20,32.14,145.58,157.18,22.53,16.41,180.80,23.93,81.82,18.90,163.65,232.39,100.28,3.55,181.59,59.33,38.00,52.08,341.88,244.18
00:31,211.46,0.80,5.13,24.00,131.73,72.47,132.67,0.86,33.61,22.47,122.87,181.47,137.47,41.13,192.43,120.20,256.56,55.07,89.81,4.07,34.28,140.09,16.78,40.03,191.05,68.67,32.55,15.27,5.53,41.04,16.21,60.87,0.00,172.60,104.00,126.13,32.68,82.32,133.71,64.73,13.82,164.53,33.40,60.82,11.25,126.80,171.31,107.58,2.97,108.23,58.28,12.75,53.97,383.82,252.77
00:32,172.00,4.40,37.07,12.75,88.40,71.47,175.87,0.21,21.33,44.20,131.13,193.53,200.67,15.47,285.29,168.73,348.67,37.13,67.19,20.00,36.07,139.45,34.41,44.81,169.05,46.00,23.55,14.67,22.00,78.37,43.64,62.39,2.47,243.73,153.24,242.53,20.95,129.42,143.00,17.33,12.47,217.87,12.87,35.59,11.50,154.50,169.67,133.03,2.00,122.91,60.06,24.08,78.47,193.82,185.91
00:33,196.46,8.93,42.13,20.31,84.13,63.87,126.60,5.21,16.39,100.13,87.73,206.13,92.67,59.87,253.93,270.27,272.39,65.40,91.50,35.53,17.52,181.36,34.15,95.67,151.77,8.00,26.10,16.33,4.13,95.30,24.29,85.39,27.40,231.67,218.88,118.13,3.32,127.63,82.41,21.87,6.41,114.93,24.27,84.76,29.75,106.55,140.56,132.89,1.48,52.50,90.33,25.38,65.00,223.59,202.45
00:34,95.69,13.00,57.00,5.88,122.40,106.27,233.07,3.14,31.22,23.67,122.07,144.27,142.53,8.07,130.57,239.53,270.61,21.80,88.75,39.80,2.62,232.05,37.00,30.53,138.18,10.87,18.15,15.87,20.40,93.20,77.93,57.61,20.40,307.60,250.35,191.73,11.09,185.05,27.53,78.67,33.71,95.53,5.07,88.41,26.60,130.00,132.22,122.64,3.24,75.18,62.89,46.50,53.22,213.65,135.00
00:35,136.38,13.87,51.60,4.19,119.00,59.47,148.40,14.50,37.67,47.07,99.13,158.13,123.13,30.20,98.93,241.13,219.61,14.40,65.00,33.33,1.48,176.27,29.52,21.50,158.18,36.87,48.85,26.07,23.00,52.87,133.00,65.78,7.33,251.40,153.06,172.20,0.68,88.58,5.47,14.27,40.88,139.67,1.73,43.41,22.40,143.65,154.72,116.92,1.82,90.41,86.75,47.46,73.50,198.76,199.50
00:36,143.46,17.53,89.40,1.44,62.87,48.07,131.87,4.14,87.33,48.07,113.67,97.93,119.60,58.67,87.50,272.53,202.72,37.13,63.94,22.87,17.17,153.27,38.70,35.06,141.14,24.00,31.95,41.33,33.20,60.37,78.79,27.39,41.73,245.53,256.76,235.60,29.77,77.16,37.18,15.40,43.12,22.07,12.73,52.24,20.15,111.40,85.28,109.44,1.64,87.95,118.33,68.83,54.22,332.53,218.50
00:37,177.69,11.40,198.67,8.44,61.40,77.87,88.87,5.21,53.17,12.13,66.40,98.13,122.73,18.67,166.14,275.00,301.67,1.67,79.06,31.60,1.48,204.64,36.67,23.19,207.73,8.93,33.40,39.93,57.47,48.96,26.21,105.83,26.53,208.73,357.71,189.27,5.82,65.84,103.12,55.20,31.76,68.07,3.53,79.24,46.05,133.15,107.61,157.86,3.39,85.64,84.14,35.58,57.33,307.29,251.73
00:38,243.62,40.27,43.60,2.56,30.47,71.73,103.87,0.00,33.56,28.40,39.73,91.80,88.87,13.27,300.57,277.80,268.83,4.73,63.56,69.33,1.69,155.73,37.96,18.81,161.86,12.20,39.90,39.60,9.73,68.28,0.00,105.26,25.60,414.53,314.82,115.47,11.86,72.37,81.59,53.07,85.12,9.20,11.87,21.94,45.25,117.45,188.75,153.33,13.42,49.50,116.28,30.12,75.75,192.71,297.09
00:39,129.85,38.40,72.53,9.69,141.00,143.53,135.47,0.00,73.06,16.60,71.13,127.13,115.27,17.00,278.29,236.27,270.28,0.67,39.00,50.27,1.10,203.50,10.00,54.03,127.86,7.73,46.55,22.87,38.87,57.80,21.14,58.87,0.00,406.40,258.29,150.87,12.36,85.21,86.65,70.47,48.06,21.73,41.93,43.59,27.70,148.20,84.67,141.81,5.61,75.82,99.33,42.54,63.00,308.71,229.55
00:40,88.62,24.33,121.67,2.69,56.20,53.13,175.73,0.00,35.56,6.67,48.47,82.73,119.87,8.13,205.21,166.00,235.61,11.87,95.25,38.13,3.52,133.23,27.48,43.06,135.91,7.73,33.80,103.60,28.33,63.48,5.71,41.35,9.27,290.67,361.82,155.40,22.59,22.26,57.41,85.73,56.94,10.60,10.13,100.94,65.95,121.00,122.28,78.39,12.64,52.18,90.03,11.33,81.53,300.24,172.95
00:41,60.38,25.07,55.67,4.75,66.67,41.27,132.73,0.00,1.72,21.47,31.47,133.40,130.87,28.40,195.50,183.60,293.44,3.13,86.06,61.00,8.55,90.95,22.44,51.97,139.05,13.80,47.20,12.87,0.00,53.37,6.79,19.09,1.53,199.27,427.76,240.67,50.95,23.74,60.29,50.53,71.65,29.93,13.27,76.35,22.20,200.70,130.86,75.17,14.30,77.59,104.86,4.17,83.28,339.35,192.91
00:42,41.85,31.67,18.20,15.88,65.00,46.13,93.27,5.29,1.72,9.60,37.20,162.07,244.73,11.87,122.50,180.67,146.56,1.73,85.62,64.13,2.10,70.41,30.70,35.50,149.32,18.07,32.95,48.60,19.60,67.07,1.64,41.13,0.00,189.07,326.47,276.47,35.77,16.63,110.24,85.73,56.24,82.93,13.20,51.53,19.85,222.15,144.53,91.72,13.61,67.14,86.22,16.38,93.00,352.53,150.09
00:43,153.15,8.60,8.93,7.62,188.00,61.27,149.33,1.29,4.61,14.07,84.27,127.00,143.00,21.20,83.86,218.07,174.83,8.73,134.12,31.40,3.72,60.50,38.85,12.50,166.59,19.60,27.15,23.87,3.80,70.54,11.43,49.70,18.40,329.53,261.12,226.33,13.86,11.11,136.88,98.67,121.41,90.20,13.67,10.41,55.55,137.90,120.44,74.69,2.09,88.00,55.06,27.08,111.75,288.82,129.91
00:44,99.31,42.80,19.33,26.81,94.20,50.80,173.33,0.00,0.00,32.27,71.00,108.27,120.47,6.67,113.43,210.13,269.06,10.47,120.81,47.80,3.79,40.82,20.78,28.89,184.68,41.13,22.70,39.67,1.00,70.74,0.00,21.70,25.60,330.20,239.71,222.00,0.41,46.63,67.94,72.33,143.76,48.33,9.73,15.53,23.05,191.55,75.22,75.19,8.52,133.50,60.50,26.42,95.08,174.88,156.55
00:45,133.23,78.73,30.47,22.75,58.73,59.07,105.60,6.07,0.00,49.20,55.47,113.67,144.73,28.67,134.50,190.13,199.94,14.27,105.62,50.13,3.52,122.36,22.00,49.19,212.55,26.20,18.30,8.87,28.27,22.89,4.57,3.00,18.53,306.53,169.65,224.07,14.82,134.16,44.71,68.47,122.94,37.67,26.53,10.76,20.55,152.15,111.94,84.69,1.55,124.32,72.64,9.33,90.17,243.76,195.59
00:46,83.69,107.13,15.93,22.38,70.33,59.13,159.33,3.29,0.00,24.27,52.27,148.53,117.53,53.87,148.21,174.73,229.83,25.13,93.19,21.93,2.41,106.18,28.22,36.69,202.95,22.53,13.25,21.07,9.67,44.98,7.64,3.39,0.00,196.53,155.94,226.53,42.14,135.95,50.18,115.47,81.18,63.87,20.87,4.53,19.20,183.70,92.92,91.03,10.45,144.05,68.19,12.46,69.06,256.29,255.59
00:47,32.46,129.40,62.47,3.44,42.33,102.20,125.33,15.64,16.39,8.73,65.73,122.73,64.73,46.60,71.36,200.13,200.11,15.33,84.75,21.33,4.86,102.27,52.85,52.36,191.27,16.73,22.05,11.60,26.53,68.22,2.71,1.43,14.60,341.00,126.29,200.00,6.32,164.05,182.24,109.73,85.41,100.87,14.73,64.71,85.05,167.10,149.36,82.22,2.58,67.68,105.33,3.79,67.44,184.29,201.91
00:48,34.31,84.53,6.27,3.75,70.13,93.73,120.40,2.93,2.28,35.87,100.53,132.00,132.47,46.53,99.14,241.00,151.22,5.07,70.38,12.27,8.66,60.32,39.19,37.72,175.00,13.73,12.10,27.40,2.47,51.80,4.57,6.04,11.87,319.07,144.88,132.07,4.64,167.63,83.76,73.40,89.06,129.53,20.33,49.35,29.35,73.30,215.83,107.22,9.82,137.55,66.14,24.83,44.81,334.06,203.36
00:49,61.62,69.13,23.80,10.81,67.60,60.67,163.80,1.64,2.89,18.93,46.87,134.60,130.47,15.33,30.64,172.33,208.61,3.00,51.25,18.27,5.31,64.23,37.11,30.39,225.23,37.53,17.95,5.80,11.40,70.28,27.79,2.61,1.53,301.47,127.29,58.67,0.55,167.95,95.18,38.87,33.82,29.13,6.13,93.71,57.50,70.60,81.69,114.89,27.76,85.64,62.75,2.67,37.58,302.35,91.00
00:50,63.92,33.13,10.00,23.69,116.20,89.00,138.07,0.21,0.39,52.00,26.53,90.27,120.20,42.87,53.79,157.00,205.11,29.13,90.56,6.47,3.03,68.59,29.96,63.58,192.23,37.47,29.90,2.27,16.40,27.39,8.21,13.96,0.00,266.47,157.41,104.33,1.18,170.74,120.18,71.33,35.00,104.00,40.80,25.88,66.35,115.25,123.28,52.00,23.97,57.27,75.36,13.67,45.69,264.76,112.14
00:51,162.15,163.53,10.40,32.81,53.93,103.93,104.13,0.00,10.17,43.60,103.20,149.00,73.40,66.13,52.71,242.60,139.28,6.93,84.12,25.27,3.72,94.00,27.96,13.39,260.86,28.80,11.55,23.20,9.20,27.07,8.71,1.35,0.00,272.60,185.71,81.47,2.68,177.42,7.41,57.40,66.18,77.27,21.00,55.59,33.05,226.30,110.17,64.69,8.30,67.77,65.78,12.04,15.44,264.47,229.82
00:52,122.77,50.67,19.80,21.38,34.87,89.20,197.27,0.36,5.17,1.27,63.67,215.13,199.67,31.13,70.07,227.60,158.72,1.27,89.94,11.40,3.83,118.09,51.26,19.47,252.23,6.47,18.75,8.33,6.60,30.65,0.00,6.39,2.53,342.73,229.59,154.00,25.09,152.89,52.06,37.60,28.35,33.00,4.67,136.88,24.30,160.15,81.47,60.08,2.55,69.59,21.89,29.04,17.61,397.88,216.36
00:53,68.08,20.20,41.27,35.06,28.93,85.13,281.93,0.93,0.00,3.93,36.07,185.07,163.33,5.80,54.57,245.60,195.67,13.67,122.19,7.33,6.14,96.45,36.19,14.78,165.36,0.20,23.35,12.00,0.60,39.57,0.00,1.48,0.00,375.20,226.82,70.27,5.95,103.74,21.82,98.93,21.82,107.27,23.67,118.82,30.90,158.15,148.56,123.81,48.15,106.45,61.69,33.96,15.11,437.71,112.91
00:54,94.31,22.67,6.40,52.75,43.53,123.33,219.67,22.43,1.22,2.00,81.93,132.67,199.20,12.67,54.00,149.00,168.61,15.53,76.19,14.60,6.55,83.05,30.37,12.06,148.45,1.80,25.90,9.47,31.20,36.04,9.64,0.13,0.00,232.13,251.41,29.67,2.77,98.53,30.00,33.67,18.06,63.13,33.27,105.71,27.85,117.10,119.81,85.03,5.91,75.05,70.67,15.83,15.50,311.47,117.77
00:55,22.08,30.67,6.00,16.88,90.73,95.33,117.13,0.00,0.94,37.00,118.87,103.53,114.40,46.40,139.14,120.07,241.44,0.00,84.88,8.33,10.41,53.18,38.04,21.00,155.32,19.47,26.65,10.27,26.47,28.26,0.00,17.39,9.13,253.00,335.18,62.00,14.95,84.58,44.76,17.20,2.47,156.67,49.80,78.65,32.85,132.40,128.19,97.25,6.21,69.77,7.83,3.38,21.64,171.76,92.36
00:56,147.38,2.67,4.93,6.81,31.40,95.80,171.93,0.86,17.78,92.80,93.47,89.73,81.67,47.07,63.14,181.80,234.22,0.00,57.56,9.53,2.48,37.18,19.07,32.22,210.36,60.20,34.15,48.13,14.13,12.07,15.71,45.39,7.13,215.93,212.65,57.80,0.55,112.79,79.35,22.73,2.18,83.13,6.47,152.88,10.25,50.85,66.86,87.31,4.79,26.32,13.86,10.25,59.75,252.18,155.36
00:57,90.62,12.00,2.33,17.06,97.40,77.40,132.00,0.00,0.78,11.87,89.13,143.00,120.33,24.87,43.79,157.60,166.61,0.00,97.69,20.33,20.07,51.18,24.37,20.50,189.86,52.33,39.45,124.07,33.27,16.11,3.50,34.39,0.93,253.27,177.94,10.13,2.27,128.95,61.35,12.60,11.88,67.13,14.00,182.06,22.25,73.15,79.94,49.06,3.21,26.64,12.42,9.04,64.75,293.88,128.73
